user,date,begin,end,hours,project,activity,description,hourly_rate,submitted_at
john,2026-03-02,2026-03-02T08:42:00,2026-03-02T11:33:00,2.68,Mobile App,Design,UI mockup,75,
john,2026-03-02,2026-03-02T11:33:00,2026-03-02T14:24:00,2.67,Mobile App,Testing,Unit tests,75,
john,2026-03-02,2026-03-02T14:24:00,2026-03-02T17:35:00,2.68,Website Redesign,Development,Bug fix,75,
john,2026-03-03,2026-03-03T08:44:00,2026-03-03T12:13:00,3.29,Website Redesign,Design,Wireframes,75,
john,2026-03-03,2026-03-03T12:13:00,2026-03-03T15:35:00,3.29,Mobile App,Code Review,Merge conflict resolution,75,
john,2026-03-04,2026-03-04T08:46:00,2026-03-04T11:35:00,2.6,Mobile App,Documentation,Architecture diagram,75,
john,2026-03-04,2026-03-04T11:35:00,2026-03-04T14:19:00,2.59,Website Redesign,Testing,Unit tests,75,
john,2026-03-04,2026-03-04T14:19:00,2026-03-04T16:59:00,2.6,Website Redesign,Testing,QA session,75,
john,2026-03-05,2026-03-05T08:38:00,2026-03-05T12:03:00,3.17,Mobile App,Code Review,Review feedback,75,
john,2026-03-05,2026-03-05T12:03:00,2026-03-05T15:15:00,3.17,Website Redesign,Development,Implemented feature,75,
john,2026-03-05,2026-03-05T15:15:00,2026-03-05T18:54:00,3.17,Mobile App,Design,Color palette revision,75,
john,2026-03-06,2026-03-06T09:22:00,2026-03-06T13:48:00,3.93,Mobile App,Testing,Unit tests,75,
john,2026-03-06,2026-03-06T13:48:00,2026-03-06T18:11:00,3.93,Mobile App,,Code walkthrough,75,
john,2026-03-09,2026-03-09T09:21:00,2026-03-09T13:32:00,3.85,Mobile App,Design,Design review,75,
john,2026-03-09,2026-03-09T13:32:00,2026-03-09T17:30:00,3.84,Website Redesign,Development,Backend logic,75,
john,2026-03-10,2026-03-10T09:00:00,2026-03-10T13:00:00,4.0,Website Redesign,Development,Worked from home,75,
john,2026-03-12,2026-03-12T09:26:00,2026-03-12T12:41:00,3.12,Website Redesign,Meeting,Standup,65,
john,2026-03-12,2026-03-12T12:41:00,2026-03-12T16:05:00,3.11,Website Redesign,Testing,Unit tests,75,
john,2026-03-12,2026-03-12T16:05:00,2026-03-12T19:32:00,3.12,Website Redesign,Meeting,Standup,75,
john,2026-03-13,2026-03-13T08:36:00,2026-03-13T12:54:00,4.29,Website Redesign,Documentation,API docs,75,
john,2026-03-13,2026-03-13T12:54:00,2026-03-13T17:24:00,4.3,Website Redesign,Design,Wireframes,75,
john,2026-03-16,2026-03-16T08:15:00,2026-03-16T12:32:00,3.96,Website Redesign,Documentation,Architecture diagram,75,
john,2026-03-16,2026-03-16T12:32:00,2026-03-16T16:50:00,3.96,Mobile App,Testing,Integration tests,75,
john,2026-03-17,2026-03-17T09:18:00,2026-03-17T18:27:00,9.04,Mobile App,,Bug fix,75,
john,2026-03-17,2026-03-17T10:00:00,2026-03-17T11:30:00,1.5,Website Redesign,Meeting,Client sync,75,
john,2026-03-17,2026-03-17T10:30:00,2026-03-17T12:00:00,1.5,Mobile App,Development,API work,75,
john,2026-03-18,2026-03-18T09:08:00,2026-03-18T17:00:00,7.45,Mobile App,Development,Backend logic,75,
john,2026-03-19,2026-03-19T08:52:00,2026-03-19T13:03:00,4.16,Mobile App,Documentation,README update,75,
john,2026-03-19,2026-03-19T13:03:00,2026-03-19T17:41:00,4.16,Website Redesign,Testing,Bug verification,75,
john,2026-03-20,2026-03-20T08:47:00,2026-03-20T16:40:00,7.66,Website Redesign,Meeting,Retrospective,75,
john,2026-03-23,2026-03-23T09:28:00,2026-03-23T12:01:00,2.25,Website Redesign,Development,Refactored module,75,2026-03-27T17:45:00
john,2026-03-23,2026-03-23T12:01:00,2026-03-23T14:17:00,2.25,Mobile App,Development,Backend logic,75,2026-03-27T17:45:00
john,2026-03-23,2026-03-23T14:17:00,2026-03-23T16:53:00,2.24,Mobile App,Documentation,README update,75,2026-03-27T17:45:00
john,2026-03-24,2026-03-24T09:52:00,2026-03-24T24:27:00,14.5,Mobile App,Testing,Unit tests,75,2026-03-27T17:45:00
john,2026-03-25,2026-03-25T09:13:00,2026-03-25T17:49:00,8.47,Website Redesign,Design,UI mockup,75,2026-03-27T17:45:00
john,2026-03-26,2026-03-26T08:44:00,2026-03-26T11:18:00,2.33,Website Redesign,Development,Refactored module,75,2026-03-27T17:45:00
john,2026-03-26,2026-03-26T11:18:00,2026-03-26T13:46:00,2.33,Website Redesign,Testing,QA session,75,2026-03-27T17:45:00
john,2026-03-26,2026-03-26T13:46:00,2026-03-26T16:23:00,2.33,Mobile App,Code Review,,75,2026-03-27T17:45:00
john,2026-03-27,2026-03-27T09:23:00,2026-03-27T17:47:00,8.08,Website Redesign,Code Review,PR review,75,
john,2026-03-30,2026-03-30T08:26:00,2026-03-30T10:28:00,1.94,Mobile App,Testing,Unit tests,75,
john,2026-03-30,2026-03-30T10:28:00,2026-03-30T12:33:00,1.93,Mobile App,Development,API endpoint work,75,
john,2026-03-30,2026-03-30T12:33:00,2026-03-30T14:39:00,1.94,Mobile App,Testing,Unit tests,75,
jane,2026-03-02,2026-03-02T09:57:00,2026-03-02T14:44:00,4.66,ERP Integration,Code Review,Merge conflict resolution,90,
jane,2026-03-02,2026-03-02T14:44:00,2026-03-02T19:47:00,4.66,Mobile App,,Retrospective,90,
jane,2026-03-03,2026-03-03T09:30:00,2026-03-03T13:18:00,3.77,ERP Integration,Code Review,Code walkthrough,90,
jane,2026-03-03,2026-03-03T13:18:00,2026-03-03T17:23:00,3.76,ERP Integration,Development,Bug fix,90,
jane,2026-03-04,2026-03-04T09:45:00,2026-03-04T13:53:00,4.08,Mobile App,Documentation,API docs,90,
jane,2026-03-04,2026-03-04T13:53:00,2026-03-04T18:08:00,4.07,Mobile App,Meeting,Sprint planning,90,
jane,2026-03-05,2026-03-05T08:37:00,2026-03-05T12:12:00,3.39,ERP Integration,Code Review,Review feedback,90,
jane,2026-03-05,2026-03-05T12:12:00,2026-03-05T15:52:00,3.39,ERP Integration,Development,,90,
jane,2026-03-06,2026-03-06T09:11:00,2026-03-06T17:15:00,8.0,ERP Integration,Documentation,Runbook,90,
jane,2026-03-09,2026-03-09T08:57:00,2026-03-09T13:11:00,3.92,ERP Integration,Development,Bug fix,90,
jane,2026-03-09,2026-03-09T13:11:00,2026-03-09T17:10:00,3.93,ERP Integration,Documentation,Architecture diagram,90,
jane,2026-03-10,2026-03-10T08:29:00,2026-03-10T16:42:00,8.0,Mobile App,Documentation,Architecture diagram,90,
jane,2026-03-11,2026-03-11T09:09:00,2026-03-11T13:41:00,4.15,Mobile App,Testing,Integration tests,90,
jane,2026-03-11,2026-03-11T13:41:00,2026-03-11T18:06:00,4.15,Mobile App,Meeting,Standup,90,
jane,2026-03-12,2026-03-12T08:27:00,2026-03-12T11:15:00,2.75,Mobile App,Code Review,Merge conflict resolution,90,
jane,2026-03-12,2026-03-12T11:15:00,2026-03-12T14:16:00,2.75,Mobile App,Meeting,1:1 with manager,90,
jane,2026-03-12,2026-03-12T14:16:00,2026-03-12T17:21:00,2.76,Mobile App,Documentation,API docs,90,
jane,2026-03-13,2026-03-13T08:48:00,2026-03-13T13:01:00,3.78,ERP Integration,Documentation,API docs,90,
jane,2026-03-13,2026-03-13T13:01:00,2026-03-13T16:55:00,3.78,ERP Integration,Meeting,Sprint planning,90,
jane,2026-03-16,2026-03-16T09:09:00,2026-03-16T14:08:00,4.82,ERP Integration,Code Review,Review feedback,90,
jane,2026-03-16,2026-03-16T14:08:00,2026-03-16T19:16:00,4.81,Mobile App,Documentation,API docs,90,
jane,2026-03-17,2026-03-17T08:09:00,2026-03-17T10:58:00,2.73,Mobile App,Development,API endpoint work,90,
